Symbol,Date,Open,High,Low,Close,AdjClose,Volume
TSLA,2018-01-24,354.58,354.75,343.52,345.89,23.0593333333,5251654
TSLA,2018-01-25,348.27,349.2,336.4,337.64,22.5093333333,6640964
TSLA,2018-01-26,341.5,344.0,335.71,342.85,22.8566666667,4515013
TSLA,2018-01-29,339.85,350.85,338.28,349.53,23.302,4722025
TSLA,2018-01-30,345.14,348.27,342.17,345.82,23.0546666667,4696465
TSLA,2018-01-31,347.51,356.19,345.19,354.31,23.6206666667,6076998
TSLA,2018-02-01,351.0,359.66,348.63,349.25,23.2833333333,4163194
TSLA,2018-02-02,348.44,351.95,340.51,343.75,22.9166666667,3674909
TSLA,2018-02-05,337.97,344.47,333.0,333.13,22.2086666667,4053777
TSLA,2018-02-06,325.21,336.22,323.5,333.97,22.2646666667,4937928
TSLA,2018-02-07,338.99,346.0,335.66,345.0,23.0,5846823
TSLA,2018-02-08,343.31,348.62,314.6,315.23,21.0153333333,9996464
TSLA,2018-02-09,319.93,320.98,294.76,310.42,20.6946666667,12795099
TSLA,2018-02-12,316.13,318.08,306.25,315.73,21.0486666667,6166161
TSLA,2018-02-13,315.02,324.19,312.51,323.66,21.5773333333,4506915
TSLA,2018-02-14,320.84,326.17,318.52,322.31,21.4873333333,3930911
TSLA,2018-02-15,324.5,334.12,322.4,334.07,22.2713333333,5892048
TSLA,2018-02-16,332.5,343.12,331.64,335.49,22.366,5585810
TSLA,2018-02-20,334.47,340.84,331.5,334.77,22.318,3996951
TSLA,2018-02-21,336.03,339.69,333.17,333.3,22.22,3181755
TSLA,2018-02-22,335.53,347.44,334.75,346.17,23.078,6940349
TSLA,2018-02-23,347.83,354.99,347.1,352.05,23.47,5790795
TSLA,2018-02-26,353.5,359.0,352.36,357.42,23.828,4312871
TSLA,2018-02-27,356.25,359.99,350.01,350.99,23.3993333333,4761537
TSLA,2018-02-28,352.57,355.24,342.22,343.06,22.8706666667,6042895
TSLA,2018-03-01,345.01,348.67,330.07,330.93,22.062,6885601
TSLA,2018-03-02,326.98,335.22,322.97,335.12,22.3413333333,5092829
TSLA,2018-03-05,332.39,337.75,329.29,333.35,22.2233333333,3823769
TSLA,2018-03-06,333.75,336.37,327.03,328.2,21.88,4285744
TSLA,2018-03-07,325.44,332.5,321.74,332.3,22.1533333333,5007297
TSLA,2018-03-08,332.86,333.3,326.27,329.1,21.94,3476944
TSLA,2018-03-09,324.1,328.49,322.37,327.17,21.8113333333,5479716
TSLA,2018-03-12,328.61,347.21,326.5,345.51,23.034,8212156
TSLA,2018-03-13,328.61,347.21,326.5,341.84,22.7893333333,5932110
TSLA,2018-03-14,336.76,339.81,323.93,326.63,21.7753333333,7932511
TSLA,2018-03-15,329.38,332.85,321.1,325.6,21.7066666667,6366922
TSLA,2018-03-16,322.93,327.4,319.07,321.35,21.4233333333,6058612
TSLA,2018-03-19,316.5,320.75,309.67,313.56,20.904,7440766
TSLA,2018-03-20,314.87,316.25,308.76,310.55,20.7033333333,4726182
TSLA,2018-03-21,310.25,322.44,310.19,316.53,21.102,5927881
TSLA,2018-03-22,313.89,318.82,308.18,309.1,20.6066666667,4914307
TSLA,2018-03-23,311.25,311.25,300.45,301.54,20.1026666667,6600538
TSLA,2018-03-26,307.34,307.59,291.36,304.18,20.2786666667,8324639
TSLA,2018-03-27,304.0,304.27,277.18,279.18,18.612,13696168
TSLA,2018-03-28,264.58,268.68,252.1,257.78,17.1853333333,21001437
TSLA,2018-03-29,256.49,270.96,248.21,266.13,17.742,15170749
TSLA,2018-04-02,256.26,260.33,244.59,252.48,16.832,16113968
TSLA,2018-04-03,269.82,273.35,254.49,267.53,17.8353333333,18844384
TSLA,2018-04-04,252.78,288.37,252.0,286.94,19.1293333333,19896746
TSLA,2018-04-05,289.34,306.26,288.2,305.72,20.3813333333,19121101
TSLA,2018-04-06,301.0,309.28,295.5,299.3,19.9533333333,13520286
TSLA,2018-04-09,300.37,309.5,289.21,289.66,19.3106666667,10249805
TSLA,2018-04-10,298.97,307.1,293.68,304.7,20.3133333333,11024259
TSLA,2018-04-11,300.74,308.98,299.66,300.93,20.062,7482945
TSLA,2018-04-12,302.32,303.95,293.68,294.08,19.6053333333,7608769
TSLA,2018-04-13,303.6,303.95,295.98,300.34,20.0226666667,7327223
TSLA,2018-04-16,299.0,299.66,289.01,291.21,19.414,6338488
TSLA,2018-04-17,288.87,292.17,282.51,287.69,19.1793333333,7000023
TSLA,2018-04-18,291.08,300.24,288.16,293.35,19.5566666667,6557700
TSLA,2018-04-19,291.08,301.01,288.55,300.08,20.0053333333,6090599
TSLA,2018-04-20,295.17,299.98,289.75,290.24,19.3493333333,5627928
TSLA,2018-04-23,291.29,291.62,282.33,283.37,18.8913333333,4893378
TSLA,2018-04-24,285.0,287.09,278.46,283.46,18.8973333333,5685308
TSLA,2018-04-25,283.5,285.16,277.25,280.69,18.7126666667,4013574
TSLA,2018-04-26,278.75,285.79,276.5,285.48,19.032,4356013
TSLA,2018-04-27,285.37,294.47,283.83,294.08,19.6053333333,4364626
TSLA,2018-04-30,293.61,298.73,292.5,293.9,19.5933333333,4228172
TSLA,2018-05-01,293.51,300.82,293.22,299.92,19.9946666667,4625603
TSLA,2018-05-02,298.57,306.85,297.78,301.15,20.0766666667,8970370
TSLA,2018-05-03,278.79,288.04,275.23,284.45,18.9633333333,17352130
TSLA,2018-05-04,283.0,296.86,279.52,294.09,19.606,8569354
TSLA,2018-05-07,297.5,305.96,295.17,302.77,20.1846666667,8678224
TSLA,2018-05-08,300.8,307.75,299.0,301.97,20.1313333333,5930000
TSLA,2018-05-09,300.41,307.01,300.05,306.85,20.4566666667,5727365
TSLA,2018-05-10,307.5,312.99,304.11,305.02,20.3346666667,5651561
TSLA,2018-05-11,307.7,308.88,299.08,301.06,20.0706666667,4679649
TSLA,2018-05-14,303.32,304.94,291.62,291.97,19.4646666667,7286804
TSLA,2018-05-15,285.01,286.96,280.5,284.18,18.9453333333,9519173
TSLA,2018-05-16,283.83,288.81,281.56,286.48,19.0986666667,5674019
TSLA,2018-05-17,285.9,289.19,283.97,284.54,18.9693333333,4420612
TSLA,2018-05-18,284.65,284.65,274.0,276.82,18.4546666667,7251887
TSLA,2018-05-21,281.33,291.49,281.3,284.49,18.966,9182571
TSLA,2018-05-22,287.76,288.0,273.42,275.01,18.334,8945756
TSLA,2018-05-23,277.76,279.91,274.0,279.07,18.6046666667,5985053
TSLA,2018-05-24,278.4,281.11,274.89,277.85,18.5233333333,4176708
TSLA,2018-05-25,277.63,279.64,275.61,278.85,18.59,3875082
TSLA,2018-05-29,278.51,286.5,276.15,283.76,18.9173333333,5666640
TSLA,2018-05-30,283.29,295.01,281.6,291.72,19.448,7489686
TSLA,2018-05-31,287.21,290.37,282.93,284.73,18.982,5919721
